cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2020-10-24 07:56:16


Controller Begins at 2020-10-24 07:56:18
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 50 ms
DEC Minimum pulse = 100 ms
RA Backlash comp, RA pulse = 50 ms, DEC pulse 50 ms
Time,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
2936.732820034027,Mount,336,E,0,,-209312,-70,-0.0016766282264086127,-0.008975174366493262,0,-10539
2937.0704169273376,Mount,336,E,0,,-208976,-73,-0.0016766282264086127,-0.008975174366493262,0,-10539
2937.407905101776,Mount,336,E,0,,-208641,-76,-0.0016766282264086127,-0.008975174366493262,0,-10539
2937.745027065277,Mount,336,E,0,,-208305,-79,-0.0016766282264086127,-0.008975174366493262,0,-10539
2938.0830829143524,Mount,336,E,0,,-207970,-82,-0.0016766282264086127,-0.008975174366493262,0,-10539
2938.4200279712677,Mount,336,E,0,,-207635,-85,-0.0016766282264086127,-0.008975174366493262,0,-10539
2938.7577950954437,Mount,336,E,0,,-207299,-88,-0.0016766282264086127,-0.008975174366493262,0,-10539
2939.094728946686,Mount,336,E,0,,-206964,-91,-0.0016766282264086127,-0.008975174366493262,0,-10539
2939.431545972824,Mount,336,E,0,,-206628,-94,-0.0016766282264086127,-0.008975174366493262,0,-10539
2939.7689909934998,Mount,336,E,0,,-206293,-97,-0.0016766282264086127,-0.008975174366493262,0,-10539
2940.1090519428253,Mount,336,E,100,S,-205957,0,-0.0016766282264086127,-0.008975174366493262,0,-10539
2940.4464781284332,Mount,336,E,0,,-205622,-3,-0.0016766282264086127,-0.008975174366493262,0,-10539
2940.783919095993,Mount,336,E,0,,-205287,-6,-0.0016766282264086127,-0.008975174366493262,0,-10539
2941.121113061905,Mount,336,E,0,,-204951,-9,-0.0016766282264086127,-0.008975174366493262,0,-10539
2941.4584119319916,Mount,336,E,0,,-204616,-12,-0.0016766282264086127,-0.008975174366493262,0,-10539
