cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2021-07-03 01:40:40


Controller Begins at 2021-07-03 01:40:50
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 30 ms
DEC Minimum pulse = 80 ms
RA Backlash comp, RA pulse = 5 ms, DEC pulse 50 ms
Time,AbsTime,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
8325.453154087067,1625284775.720113,Mount,0,,80,N,0,0,0.0003395813830058109,0.0014696904036870127,0,419
8326.918920993805,1625284777.18588,Mount,66,E,0,,0,2,-0.0004706218820428877,0.0014696904036870127,0,419
8330.45230793953,1625284780.719267,Mount,59,E,0,,0,7,-0.0018080291135258515,0.0014696904036870127,0,419
8340.02953505516,1625284790.296494,Mount,30,E,0,,0,22,-0.0037903118842990214,0.001738606954494547,0,419
8341.564412117004,1625284791.831371,Mount,45,W,0,,0,25,-0.003501692677814773,0.001738606954494547,0,419
8343.616171121597,1625284793.88313,Mount,96,W,0,,0,28,-0.002954734019568389,0.001738606954494547,0,419
8347.079407930374,1625284797.346367,Mount,67,W,0,,0,34,-0.0018056425872717552,0.001738606954494547,0,419
8349.21269607544,1625284799.479655,Mount,100,W,0,,0,38,-0.00039497204736256217,0.001738606954494547,0,419
8352.679396152496,1625284802.946355,Mount,142,W,0,,0,44,0.0010801442384301817,0.001738606954494547,0,419
8354.738409042358,1625284805.005368,Mount,105,W,0,,0,63,0.002481504709933288,0.001738606954494547,0,419
8358.261840105057,1625284808.528799,Mount,41,E,0,,0,70,0.0037911888860370437,0.001738606954494547,0,419
8360.277994155884,1625284810.544953,Mount,53,W,0,,0,73,0.005035388853335611,0.001738606954494547,0,419
8364.150822162628,1625284814.417781,Mount,0,,80,N,21,0,0.006045101386512026,0.001738606954494547,0,419
8365.652513027191,1625284815.919472,Mount,30,W,0,,0,2,0.006045101386512026,0.001738606954494547,0,419
8369.384411096573,1625284819.65137,Mount,79,E,0,,0,9,0.0061191436102490965,0.0018691229273647475,0,419
8374.43308210373,1625284824.700041,Mount,30,W,0,,0,19,0.0062805091608769525,0.0018691229273647475,0,419
8375.048251152039,1625284825.31521,Mount,106,W,0,,0,20,0.006433806433973416,0.001945915433256803,0,419
8380.022463083267,1625284830.289422,Mount,32,W,0,,0,30,0.006579438843415056,0.001945915433256803,0,419
8380.838992118835,1625284831.105951,Mount,70,W,0,,0,31,0.0067177896323846135,0.0016462496814162776,0,419
8382.875587940216,1625284833.142547,Mount,48,E,0,,0,34,0.006849222881905693,0.0016462496814162776,0,419
8387.743431091309,1625284838.01039,Mount,32,W,0,,0,42,0.006807640776191015,0.0016462496814162776,0,419
8388.65970993042,1625284838.926669,Mount,49,E,0,,0,44,0.006681526334313828,0.0014372528096179493,0,419
8392.178074121475,1625284842.445033,Mount,81,W,0,,0,49,0.006561717614530499,0.0014372528096179493,0,419
8397.263417005539,1625284847.530376,Mount,31,W,0,,0,56,0.005928558988861032,0.0014372528096179493,0,419
8402.600939035416,1625284852.867898,Mount,31,W,0,,0,62,0.005442253484957906,0.0009409611172642691,0,419
8404.417392969131,1625284854.684352,Mount,72,E,0,,0,64,0.0050583155911350895,0.0009409611172642691,0,419
8406.456467151642,1625284856.723426,Mount,223,E,0,,0,66,0.004457621517448302,0.0009409611172642691,0,419
8409.947589159012,1625284860.214548,Mount,49,W,0,,0,69,0.004122915222000967,0.0009409611172642691,0,419
8416.066993951797,1625284866.333953,Mount,114,E,0,,0,75,0.0021373239605358193,0.0006965312239598259,0,419
8418.147552967072,1625284868.414512,Mount,78,E,0,,0,76,0.0011459439175849858,0.0006965312239598259,0,419
8421.494576931,1625284871.761536,Mount,32,W,180,S,0,0,0.0009267120097136095,0.0006965312239598259,0,419
8423.493978023529,1625284873.760937,Mount,66,W,353,S,0,0,0.0007184416972358019,0.0006965312239598259,0,239
8427.165791034698,1625284877.43275,Mount,127,E,376,S,0,0,0.0007184416972358019,0.0006965312239598259,0,-113
